Game,Score,Record,Mean Score
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,0,0.0
5,0,0,0.0
6,0,0,0.0
7,0,0,0.0
8,0,0,0.0
9,1,1,0.1111111111111111
10,0,1,0.1
11,0,1,0.09090909090909091
12,0,1,0.08333333333333333
13,0,1,0.07692307692307693
14,0,1,0.07142857142857142
15,0,1,0.06666666666666667
16,0,1,0.0625
17,1,1,0.11764705882352941
18,0,1,0.1111111111111111
19,1,1,0.15789473684210525
20,0,1,0.15
21,0,1,0.14285714285714285
22,0,1,0.13636363636363635
23,1,1,0.17391304347826086
24,0,1,0.16666666666666666
25,1,1,0.2
26,1,1,0.23076923076923078
27,0,1,0.2222222222222222
28,0,1,0.21428571428571427
29,0,1,0.20689655172413793
30,0,1,0.2
31,1,1,0.22580645161290322
32,0,1,0.21875
33,0,1,0.21212121212121213
34,1,1,0.23529411764705882
35,0,1,0.22857142857142856
36,0,1,0.2222222222222222
37,0,1,0.21621621621621623
38,0,1,0.21052631578947367
39,0,1,0.20512820512820512
40,0,1,0.2
41,0,1,0.1951219512195122
42,1,1,0.21428571428571427
43,0,1,0.20930232558139536
44,0,1,0.20454545454545456
45,0,1,0.2
46,0,1,0.1956521739130435
47,0,1,0.19148936170212766
48,1,1,0.20833333333333334
49,1,1,0.22448979591836735
50,0,1,0.22
51,1,1,0.23529411764705882
52,1,1,0.25
53,4,4,0.32075471698113206
54,0,4,0.3148148148148148
55,0,4,0.3090909090909091
56,0,4,0.30357142857142855
57,5,5,0.38596491228070173
58,0,5,0.3793103448275862
59,2,5,0.4067796610169492
60,1,5,0.4166666666666667
61,2,5,0.4426229508196721
62,0,5,0.43548387096774194
63,0,5,0.42857142857142855
64,1,5,0.4375
65,1,5,0.4461538461538462
66,3,5,0.48484848484848486
67,2,5,0.5074626865671642
68,1,5,0.5147058823529411
69,0,5,0.5072463768115942
70,4,5,0.5571428571428572
71,1,5,0.5633802816901409
72,0,5,0.5555555555555556
73,1,5,0.5616438356164384
74,3,5,0.5945945945945946
75,8,8,0.6933333333333334
76,2,8,0.7105263157894737
